CONSTRUCT_INDEX,DOMAIN_INDEX,CONSTRUCT_NAME,DOMAIN_NAME,DOMAIN,CONSTRUCT,DESCRIPTION,MOLECULES,CELLS,CIRCUITS,PHYSIOLOGY,BEHAVIOR,SELF_REPORT,PARADIGMS
33,4,NONFACIAL_COMM_RECEPTION,SOCIAL_PROCESSES,Social Processes,Social Communication | Reception of Non-Facial Communication | Non-Facial,"A dynamic process that includes both receptive and productive aspects used for exchange of socially relevant information. Social communication is essential for the integration and maintenance of the individual in the social environment. This Construct is reciprocal and interactive, and social communication abilities may appear very early in life. Social communication is distinguishable from other cognitive systems (e.g., perception, cognitive control, memory, attention) in that it particularly involves interactions with conspecifics. The underlying neural substrates of social communication evolved to support both automatic/reflexive and volitional control, including the motivation and ability to engage in social communication. Receptive aspects may be implicit or explicit; examples include affect recognition, facial recognition and characterization. Although facial communication was set aside as a separate sub-construct for the purposes of identifying matrix elements, social communication typically utilizes information from several modalities, including facial, vocal, gestural, postural, and olfactory processing. | The capacity to perceive social and emotional information based on modalities other than facial expression, including non-verbal gestures, affective prosody, distress calling, cooing, etc.",Oxytocin | Vasopressin,,A1-RSTG | MPFC | STS | VLPFC,"EEG features e.g., evoked gamma | Local cerebral blood flow changes | Network dynamics",Comprehension of emotional prosody | prosody comprehension | Comprehension of non-verbal gestures | gesture comprehension | Humor comprehension | Irony comprehension | sarcasm comprehension | Metaphor comprehension,Social Responsiveness Scale,Multimodal Social Paradigms
34,4,NONFACIAL_COMM_PRODUCTION,SOCIAL_PROCESSES,Social Processes,Social Communication | Production of Non-Facial Communication | Non-Facial,"A dynamic process that includes both receptive and productive aspects used for exchange of socially relevant information. Social communication is essential for the integration and maintenance of the individual in the social environment. This Construct is reciprocal and interactive, and social communication abilities may appear very early in life. Social communication is distinguishable from other cognitive systems (e.g., perception, cognitive control, memory, attention) in that it particularly involves interactions with conspecifics. The underlying neural substrates of social communication evolved to support both automatic/reflexive and volitional control, including the motivation and ability to engage in social communication. Productive aspects include eye contact, expressive reciprocation, and gaze following. Although facial communication was set aside as a separate sub-construct for the purposes of identifying matrix elements, social communication typically utilizes information from several modalities, including facial, vocal, gestural, postural, and olfactory processing. | The capacity to express social and emotional information based on modalities other than facial expression, including non-verbal gestures, affective prosody, distress calling, cooing, etc.",,,R-IFG-RSTG | Songbird circuits,,Crying | laughing | Gestural expressions | postural expressions | Interactive play | Response to distress | separation distress | Speech prosody | affective prosody | Vocalizations,Social Responsiveness Scale,Multimodal Social Paradigms
35,4,AGENCY,SOCIAL_PROCESSES,Social Processes,Perception of Self | Self Perception | Understanding of Self | Self Understanding | Self | Agency,"The processes and/or representations involved in being aware of, accessing knowledge about, and/or making judgments about the self. These processes/representations can include current cognitive or emotional internal states, traits, and/or abilities, either in isolation or in relationship to others, as well as the mechanisms that support self-awareness, self-monitoring, and self-knowledge. Perception and Understanding of Self was organized into the following sub-constructs: | The ability to recognize one's self as the agent of one's actions and thoughts, including the recognition of one's own body/body parts.",,,Right insula-right inferior frontal | Right parietal | SMA-somatosensory-premotor,Scalp Motor Potentials,Delusions | Delusions of control | Evidence that one understands ownership of one's own body parts actions thoughts behaviors | Ownership | Hallucinations,Perceptual Aberration Scale,
36,4,SELF_KNOWLEDGE,SOCIAL_PROCESSES,Social Processes,Perception of Self | Self Perception | Understanding of Self | Self Understanding | Self | Self-Knowledge | Self Knowledge,"The processes and/or representations involved in being aware of, accessing knowledge about, and/or making judgments about the self. These processes/representations can include current cognitive or emotional internal states, traits, and/or abilities, either in isolation or in relationship to others, as well as the mechanisms that support self-awareness, self-monitoring, and self-knowledge. Perception and Understanding of Self was organized into the following sub-constructs: | The ability to make judgments about one's current cognitive or emotional internal states, traits, and/or abilities.",,Von Economo neurons,left inferior frontal cortex | MPFC | posterior cingulate/precuneus | ventral anterior cingulate (valence specific),P300s to self-relevant stimuli,Developmentally appropriate perception of one's competences skills abilities beliefs intentions desires and/or emotional states,Levels of Emotional Awareness | Emotional Awareness | Private Self-Consciousness | Self-Consciousness | Self Consciousness | Self Components of Attributional Styles Questionnaire | Self-monitoring scale | Toronto Alexithymia scale,Self-Referential Memory Paradigm | Self-Referential
37,4,ANIMACY_PERCEPTION,SOCIAL_PROCESSES,Social Processes,Perception of Others | Understanding of Others | Others | Animacy Perception | Animacy,"The processes and/or representations involved in being aware of, accessing knowledge about, reasoning about, and/or making judgments about other animate entities, including information about cognitive or emotional states, traits or abilities. | The ability to appropriately perceive that another entity is an agent (i.e., has a face, interacts contingently, and exhibits biological motion).",,,extrastriate body area | fusiform face area | occipital face area | STS,MU Suppression,Ability to appropriately attribute animacy to other agents | attribute animacy | other agents,,Point Light Displays | Biological Motion
38,4,ACTION_PERCEPTION,SOCIAL_PROCESSES,Social Processes,Perception of Others | Understanding of Others | Others | Action Perception | Action,"The processes and/or representations involved in being aware of, accessing knowledge about, reasoning about, and/or making judgments about other animate entities, including information about cognitive or emotional states, traits or abilities.",,Mirror neurons,Inferior Parietal | STS | ventral/dorsal premotor,cortico-spinal facilitation (TMS) | MU Suppression,Ability to identify what actions an agent is executing | Gaze following | Imitation | Mimicry,Balanced Emotional Empathy Scale | Empathy Quotient | Interpersonal Reactivity Index Perspective Taking subscale | perspective taking subscale | Interpersonal Reactivity Index Empathic Concern subscale | empathic concern subscale,How-Why Task | How Why Task
39,4,MENTAL_STATE_UNDERSTANDING,SOCIAL_PROCESSES,Social Processes,Perception of Others | Understanding of Others | Others | Understanding Mental State | Mental State,"The processes and/or representations involved in being aware of, accessing knowledge about, reasoning about, and/or making judgments about other animate entities, including information about cognitive or emotional states, traits or abilities. | The ability to make judgments and/or attributions about the mental state of other animate entities that allows one to predict or interpret their behaviors. Mental state refers to intentions, beliefs, desires, and emotions.",Oxytocin | Vasopressin,,MPFC | precuneus | STS | temporal pole | TPJ,,Developmentally appropriate interpretations of other intentions | other intentions | Developmentally appropriate interpretations of other goals | other goals | Developmentally appropriate interpretations of other intentions beliefs,Balanced Emotional Empathy Scale | Empathy Quotient | Other components of Attributional Styles Questionnaires |  Interpersonal Reactivity Index Perspective Taking subscale | perspective taking subscale | Interpersonal Reactivity Index Empathic Concern subscale | empathic concern subscale,Hinting Task | Reading the Mind in the Eyes
40,5,AROUSAL,AROUSAL_REGULATION,Arousal and Regulatory Systems,Arousal,"Arousal is a continuum of sensitivity of the organism to stimuli, both external and internal. Arousal: Facilitates interaction with the environment in a context-specific manner (e.g., under conditions of threat, some stimuli must be ignored while sensitivity to and responses to others is enhanced, as exemplified in the startle reflex), Can be evoked by either external/environmental stimuli or internal stimuli (e.g., emotions and cognition), Can be modulated by the physical characteristics and motivational significance of stimuli, Varies along a continuum that can be quantified in any behavioral state, including wakefulness and low-arousal states including sleep, anesthesia, and coma, Is distinct from motivation and valence but can covary with intensity of motivation and valence, May be associated with increased or decreased locomotor activity, and Can be regulated by homeostatic drives (e.g., hunger, sleep, thirst, sex).",Acetylcholine | CRF | Cytokines | Dopamine | GABA | Ghrelin | Glutamate | Histamine | Hypocretin/Orexin | Leptin | Neuropeptide Y | Norepinephrine | Opioid | Oxytocin | Serotonin | Vasopressin,"Basal Forebrain Nuclei | Central Nucleus Amygdala | Dorsal Raphe | Lateral, perifornical, and dorsomedial hypothalamus | LDT | Locus Coeruleus | PPT | Tuberomammillary Nucleus | Ventral Tegmental Area",Basal forebrain nuclei to cortical circuits | Brainstem monoaminergic and cholinergic projections to basal forebrain | Central Amygdala to monoaminergic and basal forebrain cholinergic nuclei | Cholinergic and monoaminergic nuclei projections to thalamic and cortical | Circadian and Sleep-related circuits modulate arousal and are modulated by arousal | Cortical circuits such as fronto-insular and dorsal anterior cingulate | Hypothalamic to thalamic and cortical circuits | Projections to midbrain and pontine monoaminergic and cholinergic nuclei | Reciprocal hypothalamic | Reciprocal NTS-Central N. Amygdala | Reciprocoal cholinergic and monoaminergic projection,EEG | EMG | ERP | fMRI | Neural activity | Sex-Specific differences in arousal | Autonomic | Blood pressure | Breathing | Galvanic skin response | Heart Rate | Pupil size | HPA axis | ACTH | CRF | Glucocorticoids,Affective states | Agitation | Cognition | Emotional Reactivity | Eye Blink | Motivated Behavior | Motor Activity | Sensory Reactivity | Startle | Waking,ADACL | POMS arousal subscale | Self-assessment Mannequin,Cardiac Pre-ejection Period | Electrodermal Responding | Heart rate variability | HRV | Psychomotor Vigilance Task | Pupillometry
41,5,CIRCADIAN_RHYTHMS,AROUSAL_REGULATION,Arousal and Regulatory Systems,Circadian Rhythm | Circadian,"Circadian Rhythms are endogenous self-sustaining oscillations that organize the timing of biological systems to optimize physiology and behavior, and health. Circadian Rhythms: Are synchronized by recurring environmental cues; Anticipate the external environment; Allow effective response to challenges and opportunities in the physical and social environment; Modulate homeostasis within the brain and other (central/peripheral) systems, tissues and organs; Are evident across levels of organization including molecules, cells, circuits, systems, organisms, and social systems.",5HT | Dopamine | GABA | Glutamate | Melanopsin | NPY | PACAP | Substance P | SCN Synchronizing and Modulating Agents | AVP | Calbindin | cAMP | cGMP | NO | Steroid hormones | VIP | AVP | Cortisol | GABA | Melatonin | VIP,"Fibroblasts | ipRGC | medium spiny neurons | Pars tuberalis cells | Pineal cells | rods and cones | SCN ""clock"" cells","Raphe to SCN projection | Retinal cells | Retino-hypothalamic tract | Retinogeniculate tract | Basolateral amygdala/ Hippocampus | Central extended amygdala (central nucleus of the amygdala / Bed nucleus of the stria terminalis) | HPA axis | Hypothalamic neuroendocrine cell groups | Hypothalamic orexin projections | PVN, DMH, subparaventricular zone, PVT | SCN/PVN/SCG/pineal | Sympathetic / parasympathetic nervous system | Intrinsic to SCN | Suprachiasmatic nucleus (SCN) core/shell | Seasonal | SCN/PVN/SCG/pineal",Gene expression | Neural activity | Neural transmitters,Drive-regulated behaviors | Locomotor activity | Masking | Neurobehavioral functions | Sleep-rated behaviors | waking behaviors | Sleep-wake,Diary-based measures of daily regularity | daily regularity | Diary-based measures of daily rhythmicity | daily rhythmicity | Social Rhythm Metric | Morningness-Eveningness Questionnaire | Munich Chronotype Questionnaire | Phase preference | diurnal preference | chronotype | Horne-Ostberg | circadian type questionnaire | sleepiness | alertness | sleepiness well-being | sleepiness mood | alertness well-being | alertness mood,Dim Light Melatonin Onset | DLMO | phase estimate | Longitudinal Actigraphy
42,5,SLEEP_WAKEFULNESS,AROUSAL_REGULATION,Arousal and Regulatory Systems,Sleep | Wakefulness,"Sleep and wakefulness are endogenous, recurring, behavioral states that reflect coordinated changes in the dynamic functional organization of the brain and that optimize physiology, behavior, and health. Homeostatic and circadian processes regulate the propensity for wakefulness and sleep. Sleep: Is reversible, typically characterized by postural recumbence, behavioral quiescence, and reduced responsiveness; Has a complex architecture with predictable cycling of NREM/REM states or their developmental equivalents. NREM and REM sleep have distinct neural substrates (circuitry, transmitters, modulators) and EEG oscillatory properties; Intensity and duration is affected by homeostatic regulation; Is affected by experiences during wakefulness; Is evident at cellular, circuit, and system levels; Has restorative and transformative effects that optimize neurobehavioral functions during wakefulness.",Acetylcholine | Adenosine | CRF | Cytokines | Dopamine | GABA | Galanin | Glutamate | Histamine | Hypocretin/Orexin | Norepinephrine | NPY | Serotonin | Vasopressin,"Anterior hypothalamus and basal forebrain | Brainstem (e.g., LC, Raphe, LDT/PPT, VTA) | Lateral and perifornical hypothalamus | Posterior hypothalamus (TMN) | Thalamus (median thalamic nuclei, reticular nucleus)",Sleep | NREM (Forebrain) | Basal forebrain and anterior hypothalamus projections to arousal promoting cell groups | Thalamocortical | REM (Brainstem) | Mesopontine nuclei | Wakefulness,"Brain metabolic activity | Capacity for wakefulness under low stimulation | EEG sleep spindles | EEG slow waves | EEG theta rhythms | EMG | EOG | NREM sleep and REM sleep | Physiologic measures of sleepiness, homeostatic sleep drive during waking | Sex-specific sleep physiology | sleep hormones | sleep latency | Temporal and topographic organization of homeostatic sleep drive during sleep | Temporal and topographic organization of sleep dynamics | wakefulness",Co-sleeping | Intermediate sleep-wake states | admixed sleep-wake states | Motor behaviors during sleep | Rest-activity patterns | Sensory arousal threshold | Sex-specific sleep behaviors | Sleep | Sleep deprivation | sleep satiation | Sleep inertia | Sleep timing | sleep variability | Sleep-dependent neurobehavioral functions | Wakefulness,Alertness | Dream reports | Fatigue | Insomnia Severity Index | Sleep quality | Sleep restoration | Sleep quantity | Sleep timing | Sleep-modulated symptoms | sleepiness | Specific sleep symptoms,Finger Tapping Motor Sequence Task | Latency to persistent sleep | Multiple sleep latency testing | Non-REM Sleep EEG slow wave activity | Sleep Spindles | Total sleep time | Wake time after sleep onset | wake time | sleep onset
43,6,ACTION_PLANNING_SELECTION,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Motor Actions | Motor | Actions | Action | Planning | Selection,"A multifaceted construct comprising the processes that must be engaged during the planning and execution of a motor action in a context-appropriate manner. Component processes include action planning and selection, sensorimotor dynamics, initiation, execution, and inhibition and termination. Of note, these processes will often be recruited in conjunction with motivational processes described in other domains, as when appetitive motivations drive approach behaviors. This construct explicitly includes the modulation and refinement of actions during development and learning. The list of subconstructs is not intended to imply a specific order or sequence. | Processes whereby an individual engages a plan for spatial and temporal components of possible purposeful movements, which match internal and external constraints to achieve a goal. This may also include cost-benefit calculations in the development and selection of motor plans.",,,Inferior Parietal Cortex | Posterior Parietal Cortex | Premotor Cortex | Superior Temporal Sulcus | Supplementary Motor Area,Apraxia,,,Go-Before-You-Know | Go Before You Know
44,6,SENSORIMOTOR_DYNAMICS,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Motor Actions | Motor | Actions | Sensorimotor Dynamics | Dynamics,"A multifaceted construct comprising the processes that must be engaged during the planning and execution of a motor action in a context-appropriate manner. Component processes include action planning and selection, sensorimotor dynamics, initiation, execution, and inhibition and termination. Of note, these processes will often be recruited in conjunction with motivational processes described in other domains, as when appetitive motivations drive approach behaviors. This construct explicitly includes the modulation and refinement of actions during development and learning. The list of subconstructs is not intended to imply a specific order or sequence. | Processes involved in the specification/parameterization of an action plan and program based on integration of internal or external information, such as sensations and urges and modeling of body dynamics. This process is continuously and iteratively refined via sensory information and reward-reinforced information.",,Granule cells | Purkinje Cells,Basal Ganglia | Cerebellum | Somatosensory Cortex | Thalamus,Short Afferent Inhibition,Hyposensitivity,,Sensory Motor Adaptation Tasks | Sensorimotor Adaptation Tasks | Sensory Motor Adaptation | Sensorimotor Adaptation
45,6,ACTION_INITIATION,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Motor Actions | Initiation,"A multifaceted construct comprising the processes that must be engaged during the planning and execution of a motor action in a context-appropriate manner. Component processes include action planning and selection, sensorimotor dynamics, initiation, execution, and inhibition and termination. Of note, these processes will often be recruited in conjunction with motivational processes described in other domains, as when appetitive motivations drive approach behaviors. This construct explicitly includes the modulation and refinement of actions during development and learning. The list of subconstructs is not intended to imply a specific order or sequence. | Processes involved in the initiation of a selected action plan; this may include timing of movement onset.",,,Basal Ganglia | Inferior Parietal Cortex | Supplementary Motor Area,Psychomotor retardation,Psychomotor retardation | Psychomotor | retardation,Lille Apathy Rating Scale | Apathy,Libet's Temporal Judgement | Temporal Judgment
46,6,ACTION_EXECUTION,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Motor Actions | Execution,"A multifaceted construct comprising the processes that must be engaged during the planning and execution of a motor action in a context-appropriate manner. Component processes include action planning and selection, sensorimotor dynamics, initiation, execution, and inhibition and termination. Of note, these processes will often be recruited in conjunction with motivational processes described in other domains, as when appetitive motivations drive approach behaviors. This construct explicitly includes the modulation and refinement of actions during development and learning. The list of subconstructs is not intended to imply a specific order or sequence. | Processes involved in the actualization and adaptation of the action implementation.",,Alpha Motor Neurons | Betz Cells | Pyramidal cells,Motor Cortex,Hoffman-reflex,Psychomotor retardation | Psychomotor | retardation,,Motor Evoked Potential Latency | MEP Latency | MEP | Motor Evoked Potential
47,6,ACTION_INHIBITION_TERMINATION,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Motor Actions | Inhibition | Termination,"A multifaceted construct comprising the processes that must be engaged during the planning and execution of a motor action in a context-appropriate manner. Component processes include action planning and selection, sensorimotor dynamics, initiation, execution, and inhibition and termination. Of note, these processes will often be recruited in conjunction with motivational processes described in other domains, as when appetitive motivations drive approach behaviors. This construct explicitly includes the modulation and refinement of actions during development and learning. The list of subconstructs is not intended to imply a specific order or sequence. | Processes involved in the inhibition of motor plans, either before or after an action is initiated, and the sense that a motor plan has been successfully completed. The inhibition sub-construct is commonly operationalized as motor response inhibition and has conceptual overlaps with the Inhibition/Suppression subconstruct of the Cognitive Control construct within the Cognitive Systems domain.",Dopamine | GABA | Norepinephrine,Intracortical Inhibitory Interneurons | Striatal Interneurons,Basal Ganglia | Cerebellum | Inferior Parietal Cortex | Supplementary Motor Area,Eye-blink Reflex | Prepulse Inhibition,Perseveration,,Stop-Signal Reaction Time | Stop-Signal | Stop Signal
48,6,SENSORIMOTOR_AGENCY_OWNERSHIP,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Sensorimotor | Agency | Ownership,"The sense that one is initiating, executing, and in control of one's volitional actions and their sensory consequences and the sense that one's body or body parts belong to oneself. This may include the comparison of the predicted and actual sensory consequences of one's action, awareness of the intention to move, temporal binding of self-generated action and their immediate effects, and attenuation of sensory consequences of self-generated actions.",,Mirror neurons,Cerebellum | Inferior Parietal Cortex | Somatosensory Cortex | Supplementary Motor Area,,Stereotypes,,
49,6,SENSORIMOTOR_HABIT,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Sensorimotor | Habit,"Learned stimulus-response mappings triggered by internal or external stimuli that are autonomous of the current value of the outcome or goal. Habits may include overlearned sequences. Habits are implicit and efficient, requiring few cognitive resources, but can also be maladaptive under novel circumstances. Habits are based on previous positively or negatively reinforced learning and commonly occur after extended learning. Both habit formation and expression are commonly operationalized within motor control systems. When habit formation is motivated by reward learning it overlaps with the Habit construct within the Positive Valence domain.",Dopamine | GABA | Glutamate | Serotonin,,,,Stereotypes,Rush Video Based Tic Rating Scale | Rush Video | Tic Rating Scale | Tic | Yale Global Tic Severity Scale | Tic Severity Scale,2-step Task | 2 step Task | Two-step Task | Two Step Task
50,6,INNATE_MOTOR_PATTERNS,SENSORIMOTOR_SYSTEMS,Sensorimotor Systems,Sensorimotor | Innate Motor Patterns | Innate | Motor Patterns,"Unlearned action plans that may be triggered by internal or external stimuli. This can include such behaviors as stereotyped expressions of affect, orientation to salience, innate approach and withdrawal phenomena, and startle responses.",,,Motor Cortex,,Stereotypes,,
